,CallPrice,PutPrice,StrikePrice,A50Price,LocalTime,Type,TransactionArbitrage,Profit
67,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:07.806206,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
68,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:07.806229,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
69,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:07.806282,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
70,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:08.210341,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
71,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:08.210363,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
72,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:08.210460,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
73,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:08.210967,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
74,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:08.709271,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
75,0.0411,0.0387,1.95,1.957,2016-Feb-16 09:31:08.709318,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,19.210152526720172
76,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:08.709488,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
77,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:14.823293,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
78,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:14.823470,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
79,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:15.322608,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
80,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:15.936352,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
81,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:15.936376,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
82,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:15.936534,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
83,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:16.420779,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
84,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:16.420839,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
85,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:16.421110,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
86,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.435308,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
87,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:17.435410,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
88,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.879939,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
89,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.879972,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
90,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:17.880512,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
91,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:19.803121,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
92,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:21.792518,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
93,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:22.299188,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
94,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:22.299702,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
95,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:22.846479,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
96,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:22.846662,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
97,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:23.326774,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
98,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:23.326824,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
99,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:27.280431,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
100,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:29.854829,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
101,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:29.854877,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
102,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:29.855136,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
103,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:30.348002,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
104,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.348371,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
105,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.847318,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
106,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.847359,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
107,0.0239,0.071,2.0,1.958,2016-Feb-16 09:31:31.359553,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,13.815728140932872
108,0.0239,0.071,2.0,1.958,2016-Feb-16 09:31:31.359600,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,13.815728140932872
109,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:31.868921,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
